,0
lag_1,0.16346933
roll_std_6,0.04480833
hour_cos,0.03352435
lag_2,0.03225827
roll_std_12,0.027459474
hour,0.025410833
roll_std_3,0.023814596
hour_sin,0.023448102
roll_mean_168,0.021288225
roll_mean_6,0.02118656
RH_9,0.02107582
T_out,0.02060387
Visibility,0.020252138
Tdewpoint,0.0194685
lag_24,0.019218931
RH_3,0.018855367
RH_4,0.018698832
roll_std_24,0.018407768
lag_6,0.018120153
RH_7,0.018072193
roll_mean_12,0.017953046
lag_12,0.017932817
roll_std_168,0.017881257
RH_out,0.0176922
RH_8,0.017139116
dayofweek,0.01704061
RH_6,0.017008537
lag_168,0.016975382
T6,0.016816556
T4,0.016271614
Windspeed,0.016243724
T5,0.014664167
lag_3,0.014630678
roll_mean_3,0.014130742
T8,0.013940354
T7,0.013890146
lights,0.013812102
RH_5,0.013218645
T3,0.012365304
T1,0.011756633
lag_48,0.011444645
T2,0.011134578
roll_mean_24,0.011046487
T9,0.010701486
dow_sin,0.009889464
RH_1,0.009769069
Press_mm_hg,0.008566458
RH_2,0.0066425684
dow_cos,0.0
is_weekend,0.0
